00:00|Me Domina|Blaya, Carlão
00:03|Blinding Lights|The Weeknd
00:06|Stuck with U|Ariana Grande, Justin Bieber
00:09|Falling|Trevor Daniel
00:12|Savage|Megan Thee Stallion
00:14|Yo x Ti, Tu x Mi|Rosalía, Ozuna
00:17|PopStar|DJ Khaled, Drake
00:21|Te Gusta|Mc Kevinho
00:24|Rockstar|Post Malone, 21 Savage
00:27|Rain on Me|Lady Gaga, Ariana Grande
00:30|Better|Khalid
00:34|Savage Love|Jawsh 685, Jason Derulo
00:37|Own It|Stormzy, Ed Sheeran, Burna Boy
00:41|Dado|Rony Fuego, DreNaz
00:44|Blueberry Faygo|Lil Mosey
00:47|Festa|David Carreira, Mc Kevinho
00:50|Bússola|Nenny
00:55|Ily (I Love You Baby)|Surf Mesa, Emilee
00:58|Tribunal|ProfJam, Benji Price
01:02|Desce pro Play (PA PA PA)|MC Zaac, Anitta, Tyga
01:04|Toosie Slide|Drake
01:08|Roses [Imanbek remix]|Saint Jhn
01:11|Un Dia (One Day)|J Balvin, Tainy, Dua Lipa
01:15|Boyfriend|Ariana Grande, Social House
01:18|My Oasis|Sam Smith, Burna Boy
01:21|Conclusão|Julinho Ksd
01:24|I'm the One|DJ Khaled, Lil Wayne, Quavo, Chance the Rapper, Justin Bieber
01:29|Death Bed (Coffee for Your Head)|Powfu, Beabadoobee
01:32|Mafiosa|Lartiste, Carolina
01:35|Rockstar|DaBaby, Roddy Ricch
01:38|Tusa|Karol G, Nicki Minaj
01:42|Cocaína|GSon, Zara G, Chris [pt], Luccas, Kroa, Xamã, Giovanni
01:48|Don't Start Now|Dua Lipa
01:51|Mamacita|Black Eyed Peas, J Rey Soul, Ozuna
01:56|Motivation|Normani
01:59|Me Domina|Blaya, Carlão
02:02|Watermelon Sugar|Harry Styles
02:05|TKN|Rosalía, Travis Scott
02:07|Hot Girl Bummer|Blackbear
02:10|Ignorantes|Bad Bunny, Sech
02:14|Be Honest|Jorja Smith, Burna Boy
02:17|Flores|Vitão, Luísa Sonza
02:20|Breaking Me|Topic, A7S
02:23|Finesse [remix]|Bruno Mars
02:27|Sunday Best|Surfaces
02:29|One Kiss|Calvin Harris, Dua Lipa
02:33|Blinding Lights|The Weeknd
02:36|Intentions|Justin Bieber, Quavo
02:40|BANANA (FT. SHAGGY) DJ FLE REMIX|CONKARAH
02:43|Te Gusta|Mc Kevinho
02:46|Supalonely|Benee, Gus Dapperton
02:50|Dance Monkey|Tones and I
02:53|My Oasis|Sam Smith, Burna Boy
02:56|The Woo|Pop Smoke, 50 Cent, Roddy Ricch
02:59|In My Feelings|Drake
03:02|Desce pro Play (PA PA PA)|MC Zaac, Anitta, Tyga
