00:00|ADORE YOU|MILEY CYRUS
00:04|O AMOR É O SEGREDO|VITOR KLEY
00:07|I BELIEVE I CAN FLY|R. KELLY
00:12|DEAMONS|IMAGINE DRAGONS
00:14|BECAUSE OF YOU|KELLY CLARKSON
00:18|STAY AWAKE|DEAN LEWIS
00:21|JUST BREATHE|PEARL JAM
00:24|BLINDED BY YOUR GRACE|STORMZY
00:28|DIALETO|DIOGO PIÇARRA
00:31|IM YOURS|JASON MRAZ
00:35|DANCING WITH A STRANGER|SAM SMITH & NORMANI
00:38|HEAVEN|RICHIE CAMPBELL
00:42|LOVE ON THE BRAIN|RIHANNA
00:45|IN THE AIR TONIGHT|PHIL COLLINS
00:50|BAD LIAR|IMAGINE DRAGONS
00:55|EU GOSTO DE TI|ELAS
01:01|CONVERSATIONS IN THE DARK|JOHN LEGEND
01:05|SKIN|RAG N BONE MAN
01:09|READY OR NOT|FUGEES
01:12|HALO|BEYONCE
01:16|ENTRE AS ESTRELAS|JIMMY P [+] DIOGO PI_ARRA
01:20|BE ALRIGHT|DEAN LEWIS
01:23|FOREVER YOUNG|ALPHAVILLE
01:27|ANTES DELA DIZER QUE SIM|BÁRBARA TINOCO
01:30|SHALLOW|LADY GAGA FT. BRADLEY COOPER
01:33|ONE|U2
01:38|IMPOSSIBLE|JAMES ARTHUR
01:41|I DONT WANT TO MISS A THING|AEROSMITH
01:46|7 YEARS|LUKAS GRAHAM
01:50|SIMPLES ASSIM|ALBERTO INDIO
01:53|KISS FROM A ROSE|SEAL
02:01|PUT A LITTLE LOVE ON ME|NIAL HORAN
02:04|ANDRA TUTTO BENE|CRISTOVAM
02:08|UNDER THE BRIDGE|RED HOT CHILI PEPPERS
02:12|HONEY|NOBLE
02:15|IN YOUR EYES|THE WEEKND
02:19|HYMN FOR THE WEEKEND|COLDPLAY
02:22|ENGLISHMAN IN NEW YORK|STING
02:26|HOLD ME WHILE YOU WAIT|LEWIS CAPALDI
02:29|HISTORIA|DIOGO PIÇARRA
02:32|DANCING IN THE MOONLIGHT|TOPLOADER
02:38|YOU ARE THE REASON|CALUM SCOTT
02:41|TEMPO|ANJOS
02:45|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
02:51|DANCING WITH A STRANGER|SAM SMITH & NORMANI
02:53|DESERT ROSE|STING [+] CHEB MAMI
02:57|SAY SO|DOJA CAT
03:01|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
03:04|E PRECISO|MIGUEL GAMEIRO
03:07|BIRDS|IMAGINE DRAGONS FT. ELISA
03:10|(IVE HAD) THE TIME OF MY LIFE|BILL MEDLEY [+] JENNIFER WARNES
03:15|SEI LÁ|BÁRBARA TINOCO
03:18|EVERYTHING I WANTED|BILLIE EILISH
03:22|O SOL|VITOR KLEY
03:26|TUSA|KAROL G. x NICKI MINAJ
03:29|O ERRO MAIS BONITO|ANA BACALHAU & DIOGO PIÇARRA
03:32|FADED|ALAN WALKER
03:35|PAIXAO|RUI VELOSO
