23:56|You & I (Nobody in the World)|John Legend
23:52|Power Over Me|Dermot Kennedy
23:50|Para Sempre [unplugged]|Dengaz , Seu Jorge
23:45|Let It Go|James Bay
23:42|Blinding Lights|The Weeknd
23:39|Lonely|Joel Corry
23:35|Eu Gosto de Ti|Elas
23:32|Whatever It Takes|Imagine Dragons
23:29|Just Breathe|Pearl Jam
23:26|Something about You|Wilson Honrado , Eden Lewis II , Francisco Cunha
23:21|Everything I Wanted|Billie Eilish
23:17|See You Again|Wiz Khalifa , Charlie Puth
23:15|Hard for Me|Michele Morrone
23:10|Assobia para o Lado|Carlão
23:06|Stuck in a Moment You Can't Get Out Of|U2
23:03|Death Bed (Coffee for Your Head)|Powfu , Beabadoobee
22:57|Sugar|Maroon 5
22:54|Always Remember Us this Way|Lady Gaga
22:50|Complicado|Vitão , Anitta
22:46|Wake Me Up when September Ends|Green Day
22:43|Ily (I Love You Baby)|Surf Mesa , Emilee
22:39|Tudo no Amor|Clã
22:36|Savage Love|Jawsh 685 , Jason Derulo
22:32|Dusk till Dawn|Zayn , Sia
22:29|Hymn for the Weekend|Coldplay , Beyoncé
22:26|Trem-Bala|Ana Vilela
22:22|Before You Go|Lewis Capaldi
22:18|Scar Tissue|Red Hot Chili Peppers
22:15|Boxes|Gavin James
22:10|Simples Assim|Alberto Indio
22:07|Catch & Release [deepend remix]|Matt Simons
22:04|To Die For|Sam Smith
21:59|Moral of the Story|Ashe
21:56|She Knows Me|Bryan Adams
21:52|Bad Liar|Imagine Dragons
21:48|Lembra-me|We Find You , Bárbara Tinoco
21:44|Wake Me Up|Avicii , Aloe Blacc
21:41|Breaking Me|Topic , A7S
21:38|Rain on Me|Lady Gaga , Ariana Grande
21:35|Esse Amor|Vai e Vem
21:32|Falling Like the Stars|James Arthur
21:29|All The Small Things|Blink 182
21:26|Memória|Ana Bacalhau
21:23|Memories|Maroon 5
21:19|Bailando|Enrique Iglesias , Sean Paul , Descemer Bueno , Gente de Zona
21:16|Together|Sia
21:12|Não Preciso|Tay , Dylan
21:08|Numb / Encore|Linkin Park , Jay Z
21:05|No Time to Die|Billie Eilish
20:59|Don't|Ed Sheeran
20:56|Naked|Jonas Blue , Max [us]
20:52|Circles|Post Malone
