23:58|Moral of the Story|Ashe
23:55|Cheap Thrills|Sia
23:51|Birds [remix]|Imagine Dragons , Elisa [it]
23:48|Perdoname|Pablo Alborán , Carminho
23:44|Diamonds|Rihanna
23:41|Blinding Lights|The Weeknd
23:36|Savage Love|Jawsh 685 , Jason Derulo
23:33|Passarinhos|S. Pedro
23:30|Attention|Charlie Puth
23:26|Torn|Natalie Imbruglia
23:22|É Preciso|Miguel Gameiro
23:18|How Do You Sleep?|Sam Smith
23:14|Adventure of a Lifetime|Coldplay
23:11|Boxes|Gavin James
23:08|Complicado|Vitão , Anitta
23:04|More than Words|Extreme
23:01|Ily (I Love You Baby)|Surf Mesa , Emilee
22:55|Rolling in the Deep|Adele
22:52|Memories|Maroon 5
22:49|Menina Solta|Giulia Be
22:46|Don't Start Now|Dua Lipa
22:42|No Time to Die|Billie Eilish
22:37|Rain on Me|Lady Gaga , Ariana Grande
22:34|Loucos|Matias Damásio , Heber
22:30|Lights Down Low|Max [us] , Gnash
22:26|It's Time|Imagine Dragons
22:23|Together|Sia
22:20|Assobia para o Lado|Carlão
22:17|She|Elvis Costello
22:13|Hold Me while You Wait|Lewis Capaldi
22:09|Recomeçar|Fernando Daniel
22:05|Waiting for Love|Avicii
22:02|To Die For|Sam Smith
21:58|In Your Eyes|Robin Schulz , Alida
21:54|Can't Hold Us|Macklemore & Ryan Lewis , Ray Dalton
21:51|Leave a Light On|Tom Walker
21:48|Às Vezes|Xutos & Pontapés
21:44|Grenade|Bruno Mars
21:41|Breaking Me|Topic , A7S
21:37|Roses [Imanbek remix]|Saint Jhn
21:35|A Fugir de Ser|Bárbara Tinoco
21:31|In My Blood|Shawn Mendes
21:28|The Story|Brandi Carlile
21:24|Something about You|Wilson Honrado , Eden Lewis II , Francisco Cunha
21:20|Everything I Wanted|Billie Eilish
21:17|Firework|Katy Perry
21:13|Break My Heart|Dua Lipa
21:09|Eu Gosto de Ti|Elas
21:05|Truly Madly Deeply|Savage Garden
21:02|Bom Rapaz|Os Quatro e Meia , Carlão
20:56|Get Lucky|Daft Punk , Pharrell Williams
20:52|Before You Go|Lewis Capaldi
20:47|Broken Strings|James Morrison , Nelly Furtado
20:44|Pensamento|Átoa
20:40|Conversations in the Dark|John Legend
20:33|Paradise|Coldplay
20:30|Be Kind|Marshmello , Halsey
20:26|Carta [acústico]|Tiago Bettencourt
20:22|One Kiss|Calvin Harris , Dua Lipa
20:15|Chasing Cars|Snow Patrol
20:12|Know Your Worth|Khalid , Disclosure
20:09|Tarde Demais|Nuno Ribeiro
20:05|In Your Eyes|The Weeknd
19:57|Wonderful World|James Morrison
19:52|Crazy|Aerosmith
19:46|FourFiveSeconds|Rihanna , Paul McCartney , Kanye West
19:43|Believer|Imagine Dragons
19:40|Let's Fall in Love for the Night|Finneas
19:34|Tudo no Amor|Clã
19:30|When I Was Your Man|Bruno Mars
19:27|Nunca Me Esqueci de Ti|Rui Veloso
19:24|Circles|Post Malone
19:19|Say So|Doja Cat
19:15|As Long as You Love Me|Backstreet Boys
19:11|Maniac|Conan Gray
19:08|Shape of You|Ed Sheeran
19:05|A Noite|Stereossauro , Marisa Liz , Carlão
18:57|Accidentally in Love|Counting Crows
18:54|Skin|Rag'n'Bone Man
18:50|Bruises|Lewis Capaldi
18:43|A Sky Full of Stars|Coldplay
18:39|Watermelon Sugar|Harry Styles
18:33|Antes Dela Dizer que Sim|Bárbara Tinoco
18:29|Where Is the Love|Black Eyed Peas
18:26|Fica tudo Bem|Silva , Anitta
18:23|Hard for Me|Michele Morrone
18:20|Don't Start Now|Dua Lipa
18:14|Come as You Are|Nirvana
18:10|Esse Amor|Vai e Vem
18:07|Elastic Heart|Sia , Diplo , The Weeknd
18:03|Blinding Lights|The Weeknd
17:57|Para lá das 8|Nuno Ribeiro , Rogg
17:53|Can't Fight the Moonlight|LeAnn Rimes
17:48|Underdog|Alicia Keys
17:43|Death Bed (Coffee for Your Head)|Powfu , Beabadoobee
17:33|Naked|James Arthur
17:30|Não Preciso|Tay , Dylan
17:25|Sorry|Justin Bieber
17:22|Boxes|Gavin James
17:18|Photograph|Ed Sheeran
17:14|Smooth|Santana , Rob Thomas
17:09|Dance Monkey|Tones and I
17:06|Santo Domingo|João Pedro Pais
17:02|Locked Away|R. City , Adam Levine
16:59|To Die For|Sam Smith
16:51|Mr. Jones|Counting Crows
16:47|Sei Lá|Bárbara Tinoco
16:42|Thunder|Imagine Dragons
16:39|Ily (I Love You Baby)|Surf Mesa , Emilee
16:32|Ouvi Dizer|Melim
16:28|I Won't Give Up|Jason Mraz
16:24|What about Us|Pink
16:21|Chama|Marta Carvalho
16:18|Hall of Fame|The Script , will.i.am
16:14|Together|Sia
16:11|You Are the Reason|Calum Scott
16:08|Otherside|Red Hot Chili Peppers
16:05|Alma|Agir
16:01|See You Again|Wiz Khalifa , Charlie Puth
15:58|Breaking Me|Topic , A7S
15:53|Girl on Fire|Alicia Keys
15:49|Be Alright|Dean Lewis
15:43|Get with You|Richie Campbell
15:39|In Your Eyes|The Weeknd
15:32|A Incrível História de Gabriela de Jesus|Miguel Araújo
15:28|Here with Me|Dido
15:24|Take Me to Church|Hozier
