00:01|LOSE SOMEBODY|KYGO & ONEREPUBLIC
00:06|TOGETHER|SIA
00:10|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
00:13|OPEN UP|MATT SIMONS
00:16|STRESSED OUT|TWENTY ONE PILOTS
00:19|DONT START NOW|DUA LIPA
00:22|SUNDAY BEST|SURFACES
00:25|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
00:29|SAVAGE LOVE|JAWSH 685 x JASON DERULO
00:32|IN MY BONES|RAY DALTON
00:35|LOVELY|BILLIE EILISH feat. KHALID
00:38|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
00:41|THIS CITY|SAM FISCHER
00:44|BREAK MY HEART|DUA LIPA
00:48|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
00:51|LOSE CONTROL|MEDUZA x BECKY HILL x GOODBOYS
00:54|LOCKED AWAY|R.CITY feat. ADAM LEVINE
00:57|ONE KISS|CALVIN HARRIS & DUA LIPA
01:01|HOJI NKA TA ROLA|JULINHO KSD
01:05|SECRETS|REGARD & RAYE
01:08|GO CRAZY|CHRIS BROWN & YOUNG THUG
01:11|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
01:14|BANANA|CONKARAH feat. SHAGGY
01:18|SAY MY NAME|DAVID GUETTA feat. BEBE REXHA & J. BALVIN
01:21|ALANE|ROBIN SCHULZ & WES
01:24|WATERMELON SUGAR|HARRY STYLES
01:27|ROCKSTAR|DABABY feat. RODDY RICCH
01:30|PARAISO|DIOGO PIÃ‡ARRA
01:33|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
01:37|COME & GO|JUICE WRLD & MARSHMELLO
01:40|ADORE YOU|HARRY STYLES
01:44|ONE LAST TIME|ARIANA GRANDE
01:47|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
01:52|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
01:56|CANT HOLD US|MACKLEMORE & RYAN LEWIS feat. RAY DALTON
02:00|KINGS & QUEENS|AVA MAX
02:04|PARTY GIRL|STAYSOLIDROCKY
02:07|SAVAGE LOVE|JAWSH 685 x JASON DERULO
02:10|TASTE|TYGA feat. OFFSET
02:13|I TOOK A PILL IN IBIZA|MIKE POSNER
02:17|ROSES|SAINT JHN
02:20|FALLING|HARRY STYLES
02:23|NOBODYS LOVE|MAROON 5
02:27|THIS CITY|SAM FISCHER
02:30|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
02:36|THE BOX|RODDY RICCH
02:39|ME DOMINA|BLAYA feat. CARLAO
02:42|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
02:45|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
02:48|DADO|RONY FUEGO
02:52|RITMO (BAD BOYS FOR LIFE)|BLACK EYED PEAS x J. BALVIN
02:55|IF I LOSE MYSELF|ALESSO feat. ONEREPUBLIC
02:59|TOOSIE SLIDE|DRAKE
03:03|HARD FOR ME|MICHELE MARRONE
03:06|SOMETHING TRIVIAL|NEEV
03:09|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
03:13|LONELY|JOEL CORRY
03:17|WITHOUT ME|HALSEY
03:20|COMME AVANT|LARTISTE feat. CAROLIINA x DJ VENS-T2
03:23|RIDE IT|REGARD
03:25|BREAKING ME|TOPIC feat. A7S
03:28|NOS 2|BISPO feat. DEEZY
03:32|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
03:35|HALLUCINATE|DUA LIPA
03:39|EVERYTHING I WANTED|BILLIE EILISH
03:43|LOVE YOURSELF|JUSTIN BIEBER
03:46|HEAD & HEART|JOEL CORRY feat. MNEK
03:51|SAVAGE LOVE|JAWSH 685 x JASON DERULO
03:54|PHOTOGRAPH|ED SHEERAN
03:58|PARADINHA|ANITTA
04:00|NO SCRUBS|TOM ENZY feat. KALU
04:05|POPSTAR|DJ KHALED feat. DRAKE
04:08|THIS CITY|SAM FISCHER
04:11|TOU BEM|PROFJAM feat. LHAST
04:14|WAVES|MR. PROBZ
04:18|O AMOR E O SEGREDO|VITOR KLEY
04:21|IN YOUR EYES|THE WEEKND
04:25|RECOMECAR|FERNANDO DANIEL
04:28|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
04:32|LOSE SOMEBODY|KYGO & ONEREPUBLIC
04:35|1 DE ABRIL|PLUTONIO
04:38|BE LIKE THAT|KANE BROWN feat. KHALID & SWAE LEE
04:41|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
04:45|SUNDAY BEST|SURFACES
04:47|UN DIA (ONE DAY)|J. BALVIN, DUA LIPA, BAD BUNNY & TAINY
04:51|ROXANNE|ARIZONA ZERVAS
04:53|HOTLINE BLING|DRAKE
04:57|UBER DRIVER|MISHLAWI
05:00|BREAK MY HEART|DUA LIPA
05:04|IN MY BONES|RAY DALTON
05:07|PAST LIFE|TREVOR DANIEL & SELENA GOMEZ
05:10|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
05:13|SECRETS|REGARD & RAYE
05:16|JACKIE CHAN|TIESTO & DZEKO feat. POST MALONE
05:20|FESTA|DAVID CARREIRA feat. KEVINHO
05:23|DEATHBED|POWFU feat. BEABADOOBEE
05:26|HOJI NKA TA ROLA|JULINHO KSD
05:30|NO TEARS LEFT TO CRY|ARIANA GRANDE
05:33|SAVAGE LOVE|JAWSH 685 x JASON DERULO
05:36|GO CRAZY|CHRIS BROWN & YOUNG THUG
05:39|MEMORIES|MAROON 5
05:42|FADED|ALAN WALKER
05:45|TOGETHER|SIA
05:51|THIS CITY|SAM FISCHER
05:54|STOLEN DANCE|MILKY CHANCE
05:58|ALL THE GOOD GIRLS GO TO HELL|BILLIE EILISH
06:01|BANANA|CONKARAH feat. SHAGGY
06:08|TOCAME|ANITTA feat. ARCANGEL & DE LA GHETTO
06:11|STUCK WITH U|ARIANA GRANDE & JUSTIN BIEBER
06:14|SAVAGE|MEGAN THEE STALLION feat. BEYONCE
06:18|LOCKED OUT OF HEAVEN|BRUNO MARS
06:22|PHYSICAL|DUA LIPA
06:25|ROCKSTAR|DABABY feat. RODDY RICCH
06:28|COME & GO|JUICE WRLD & MARSHMELLO
06:32|MAMACITA|BLACK EYED PEAS x OZUNA x J. REY SOUL
06:36|KINGS & QUEENS|AVA MAX
06:38|LOVE LIES|KHALID & NORMANI
06:42|DONT RUSH|YOUNG T & BUGSEY feat. HEADIE ONE
06:45|FALLING|HARRY STYLES
06:49|NOBODYS LOVE|MAROON 5
06:52|BE KIND|MARSHMELLO & HALSEY
06:55|THE NIGHTS|AVICII
06:58|SIDE TO SIDE|ARIANA GRANDE feat. NICKI MINAJ
07:02|ILY (I LOVE YOU BABY)|SURF MESA feat. EMILEE
07:05|JERUSALEMA|MASTER KG feat. BURNA BOY & NOMCEBO ZIKODE
07:10|DADO|RONY FUEGO
07:14|SAVAGE LOVE|JAWSH 685 x JASON DERULO
07:16|HARD FOR ME|MICHELE MARRONE
07:19|GIRLS LIKE YOU|MAROON 5
07:23|DESCE PRO PLAY (PA PA PA)|MC ZAAC feat. ANITTA & TYGA
